,emphasized,actual
14000003,greatttttttt,great
14000005,greaaaaat,great
14000006,greaaaat,great
14000007,greaat,great
14000009,greaaaaaaaaaat,great
14000010,ggggreat,great
14000011,greaaaaaaaaaaaaat,great
14000012,greatttt,great
14000013,grrrrrrrrrrrrreat,great
14000014,greattttttttttttt,great
14000015,greeeeeeeeeat,great
14000017,greatt,great
14000018,gggggreat,great
14000019,grrrrrrreat,great
14000020,greattt,great
14000022,greeeat,great
14000024,ggggggggreat,great
14000025,greatttttttttttttt,great
14000026,greaaaaaaaaaaaaaaat,great
14000027,greattttttttttttttt,great
14000029,grreat,great
14000030,greaaaaaaaaaaaat,great
14000032,ggggggggggggggreat,great
14000034,grrrreat,great
14000037,grrrrrrrrrrrrrreat,great
14000038,greatttttttttttt,great
14000039,gggreat,great
14000042,greeeeat,great
14000046,greaaaaaaaaat,great
14000047,greattttt,great
14000053,ggggggggggggreat,great
14000054,ggreat,great
14000056,grrreat,great
14000059,gggggggggggreat,great
14000062,greaaaaaaaaaaat,great
14000064,greeeeeat,great
14000065,ggggggggggreat,great
14000066,greeeeeeeeeeeat,great
14000067,greatttttt,great
14000068,ggggggreat,great
14000070,greattttttttttt,great
14000071,grrrrrreat,great
14000072,greaaat,great
14000073,greeeeeeeeeeeeeeeat,great
14000074,gggggggreat,great
14000075,greeeeeeat,great
14000079,gggggggggreat,great
14000082,greeeeeeeeeeeeeat,great
14000091,gggggggggggggreat,great
14000098,greaaaaaaaat,great
14000107,greaaaaaaaaaaaaaat,great
14000111,greatttttttttt,great
14000119,grrrrrrrrrrrrrrreat,great
14000123,greeeeeeeeeeat,great
14000132,greeat,great
14000133,greattttttt,great
14000135,greattttttttt,great
14000136,gggggggggggggggreat,great
14000143,greaaaaaaat,great
14000149,greeeeeeeeeeeeat,great
14000186,greeeeeeeat,great
14000193,grrrrrrrrrrrreat,great
14000200,greaaaaaat,great
14000230,grrrrreat,great
14000255,grrrrrrrrrreat,great
14000292,grrrrrrrrrrreat,great
14000344,greeeeeeeeeeeeeeat,great
15000000,smoottttttttttttttth,smooth
15000001,smooooooooth,smooth
15000002,smmmmooth,smooth
15000003,smoottth,smooth
15000004,smoottttttttttth,smooth
15000005,smoottttttttth,smooth
15000006,smoooth,smooth
15000007,smooooooth,smooth
15000010,smootttttttttth,smooth
15000011,smmmmmmmmmmmmooth,smooth
15000012,smoooooooth,smooth
15000014,smmmmmmmmmooth,smooth
15000015,sssmooth,smooth
15000016,smooooooooooth,smooth
15000017,sssssssssssmooth,smooth
15000019,smoothhhhhhhhhh,smooth
15000020,smmmmmmooth,smooth
15000021,smoooooooooth,smooth
15000026,smooooooooooooooth,smooth
15000027,smootttth,smooth
15000029,smoothhhhhhhh,smooth
15000030,smoooooooooooth,smooth
15000032,sssssmooth,smooth
15000036,smoothhhhh,smooth
15000037,smoottttttth,smooth
15000039,smooooooooooooth,smooth
15000041,smmmmmmmmmmmmmmooth,smooth
15000043,smoothh,smooth
15000045,smoothhhhhhhhhhhhh,smooth
15000046,smoooooooooooooth,smooth
15000047,smoooooth,smooth
15000051,smmmmmmmmmmmooth,smooth
15000052,smooooth,smooth
15000053,smootttttttttttth,smooth
15000054,ssssssssssssmooth,smooth
15000057,smoothhhhhhh,smooth
15000058,sssssssssssssmooth,smooth
15000061,smooooooooooooooooth,smooth
15000066,smmmmmmmmmmmmmmmooth,smooth
15000067,smootttttth,smooth
15000069,ssssmooth,smooth
15000070,sssssssmooth,smooth
15000072,smmmmmmmmmmooth,smooth
15000074,smoothhhhhhhhhhhhhh,smooth
15000080,smoothhhhhhhhhhhhhhh,smooth
15000083,smoothhhhhh,smooth
15000088,smoothhhhhhhhh,smooth
15000090,ssssssmooth,smooth
15000094,smmmooth,smooth
15000097,smoothhhh,smooth
15000103,smoooooooooooooooth,smooth
15000104,ssssssssmooth,smooth
15000107,smmmmmmmmooth,smooth
15000110,smootth,smooth
15000117,smmmmmooth,smooth
15000119,smoottttttttttttth,smooth
15000120,smootttttttth,smooth
15000122,smoothhh,smooth
15000127,smootttttttttttttth,smooth
15000134,smmmmmmmmmmmmmooth,smooth
15000137,smmooth,smooth
15000142,ssmooth,smooth
15000169,smmmmmmmooth,smooth
15000171,smoothhhhhhhhhhh,smooth
15000186,smoottttth,smooth
15000196,ssssssssssmooth,smooth
15000273,sssssssssmooth,smooth
15000300,smoothhhhhhhhhhhh,smooth
15000326,sssssssssssssssmooth,smooth
15000398,ssssssssssssssmooth,smooth
16000000,deliciooooooous,delicious
16000001,deliciious,delicious
16000002,dellllicious,delicious
16000003,deliciouuus,delicious
16000004,delicioooooooooooous,delicious
16000005,deliciousssssssss,delicious
16000006,deliciouuuuuuuuuuus,delicious
16000008,ddddddddddddelicious,delicious
16000009,deliciiiiiiiiiious,delicious
16000010,delicccccccccccious,delicious
16000012,deliiiiiiiiiiiiiicious,delicious
16000013,dddddelicious,delicious
16000014,delicioussssssssssssss,delicious
16000015,dddddddddddddddelicious,delicious
16000016,deliciouss,delicious
16000017,delicioussssss,delicious
16000018,deliiiiiiiicious,delicious
16000019,deliiiiiiicious,delicious
16000021,deliiiiiiiiicious,delicious
16000022,deliciouuuuuuuuus,delicious
16000023,deliciouuuuus,delicious
16000024,deliciiious,delicious
16000025,deliciousssssssssssssss,delicious
16000027,deeeeeeeelicious,delicious
16000029,dellllllicious,delicious
16000030,dddddddelicious,delicious
16000032,deliciiiiiiiious,delicious
16000034,delicccccccccccccious,delicious
16000035,deliccccccccccccious,delicious
16000036,delicioussssssss,delicious
16000037,deeeeeelicious,delicious
16000038,delicioussssssssss,delicious
16000040,deliciooooooooous,delicious
16000041,deliciiiiiiiiiiiiiious,delicious
16000042,delllllllllicious,delicious
16000043,deliccccccccccccccious,delicious
16000044,ddelicious,delicious
16000045,deliciiiiiiiiiiiiiiious,delicious
16000047,deliciousssssssssss,delicious
16000051,deliccccccious,delicious
16000053,ddddddddddddddelicious,delicious
16000054,deliciiiiiiiiiiiiious,delicious
16000055,deliciiiiiious,delicious
16000056,ddddddddelicious,delicious
16000058,delllicious,delicious
16000060,deliciouuuuuus,delicious
16000061,dellllllllllicious,delicious
16000062,delicioussss,delicious
16000064,ddddelicious,delicious
16000065,deliciiiiiiiiious,delicious
16000066,deliciouuuuuuuuuuuuuuus,delicious
16000067,delllllicious,delicious
16000068,deeeeeeeeelicious,delicious
16000070,deeeeeeeeeelicious,delicious
16000071,dddddddddelicious,delicious
16000078,delllllllllllicious,delicious
16000080,deliiiiiicious,delicious
16000082,deeeeeeeeeeeeeeelicious,delicious
16000084,delicccccccccious,delicious
16000085,dddddddddddelicious,delicious
16000088,deliiiiiiiiiiicious,delicious
16000089,deliciiiiiiiiiiiious,delicious
16000092,delicioooooous,delicious
16000095,deliciouuuuuuuuuuuuus,delicious
16000103,delicccccccccccccccious,delicious
16000104,dellllllllllllllicious,delicious
16000105,deelicious,delicious
16000109,delicioooooooooooooous,delicious
16000110,deliciouuuuuuuuuuuus,delicious
16000111,deliciiiious,delicious
16000113,deliiicious,delicious
16000114,deliiiiiiiiiiiiiiicious,delicious
16000116,deliiiicious,delicious
16000117,deliciooooous,delicious
16000119,deliiiiiiiiiicious,delicious
16000124,deeelicious,delicious
16000125,delllllllllllllicious,delicious
16000126,deliciouuuuuuuus,delicious
16000128,ddddddddddelicious,delicious
16000133,deliciouuuuuuuuuus,delicious
16000135,deliciiiiious,delicious
16000136,deliccccccccccious,delicious
16000141,deliciouuuuuuuuuuuuuus,delicious
16000144,deliiiiiiiiiiiiicious,delicious
16000146,deliicious,delicious
16000147,dddddddddddddelicious,delicious
16000154,deliciooooooooooooooous,delicious
16000158,deliciousssssssssssss,delicious
16000166,deliciousssss,delicious
16000167,ddddddelicious,delicious
16000170,delicioussssssssssss,delicious
16000171,deliciouuuus,delicious
16000173,deeeeeeeeeeeeelicious,delicious
16000176,deliciousssssss,delicious
16000178,delllllllicious,delicious
16000185,deliciouus,delicious
16000192,delicioooooooooous,delicious
16000194,delicioous,delicious
16000196,delicioooous,delicious
16000199,deliciouuuuuuus,delicious
16000207,deeeeeeeeeeeelicious,delicious
16000210,delllllllllllllllicious,delicious
16000211,delicccccious,delicious
16000212,delicccccccious,delicious
16000215,deeeeeeelicious,delicious
16000218,deliccccccccious,delicious
16000219,deliiiiicious,delicious
16000221,deeeeelicious,delicious
16000226,deliciiiiiiious,delicious
16000239,deliciousss,delicious
16000242,deeeelicious,delicious
16000243,delicioooooooous,delicious
16000255,deliiiiiiiiiiiicious,delicious
16000293,dellllllllicious,delicious
16000298,deliciooooooooooooous,delicious
16000303,deliciooooooooooous,delicious
16000327,deliciooous,delicious
16000351,dellllllllllllicious,delicious
16000353,deeeeeeeeeeelicious,delicious
16000404,dellicious,delicious
16000411,dddelicious,delicious
16000423,deliciiiiiiiiiiious,delicious
16000436,deeeeeeeeeeeeeelicious,delicious
16000440,deliccccious,delicious
16000649,deliccious,delicious
16000923,delicccious,delicious
17000000,ammmmmmmmmmmazing,amazing
17000001,ammazing,amazing
17000002,amazinnnnnnnnnnnnng,amazing
17000003,amazinnng,amazing
17000004,ammmmazing,amazing
17000005,amaziiiiiiiiiiiiiing,amazing
17000006,aaaaaaaaaaamazing,amazing
17000007,amazinnnnnnnnnnng,amazing
17000009,amaaaaaaaaaazing,amazing
17000010,amazzzzzzzzzzzzzing,amazing
17000011,amaaaazing,amazing
17000012,amaziiiiiiiing,amazing
17000013,aaamazing,amazing
17000014,amaziiiiiiiiiing,amazing
17000015,amazingggggggggggggg,amazing
17000016,amazzzzzzzzzing,amazing
17000017,amazzzzzzzzzzzzzzzing,amazing
17000018,aaaaaaaaamazing,amazing
17000020,aaaaaaamazing,amazing
17000022,amaaaaaazing,amazing
17000023,amazinggggggggggggg,amazing
17000024,amaaaaaaaaaaaazing,amazing
17000025,amazingggggg,amazing
17000027,amaziiiiiiiiiiing,amazing
17000028,amaziiiiiing,amazing
17000030,amaaaaaaaazing,amazing
17000032,amaaaaaaaaaaaaazing,amazing
17000034,aaaaaaaaaaaamazing,amazing
17000035,ammmmmazing,amazing
17000036,ammmmmmmmmmmmazing,amazing
17000038,amazinnnnnnnnng,amazing
17000039,amaziiiiiiiiing,amazing
17000040,ammmmmmmmazing,amazing
17000042,ammmmmmmmmmazing,amazing
17000043,amazinggggggggg,amazing
17000044,aaaamazing,amazing
17000046,amaaaaaaaaaaaaaaazing,amazing
17000047,amazzzzzzzzzzing,amazing
17000049,amaaaaazing,amazing
17000052,amazzzzzzing,amazing
17000053,amazinnnnnnnnnng,amazing
17000054,aaaaaaaaaamazing,amazing
17000057,amazzzing,amazing
17000058,amazinggggg,amazing
17000061,amaaaaaaaaaaaaaazing,amazing
17000062,amaaaaaaaaazing,amazing
17000064,amazinnnnnnnnnnnnnnng,amazing
17000066,amazingggggggggg,amazing
17000067,amazinggggggggggg,amazing
17000068,amaziiiiiiing,amazing
17000069,amazinggg,amazing
17000072,ammmmmmmmmmmmmmazing,amazing
17000076,amazzzzing,amazing
17000077,amazinggggggg,amazing
17000078,amazzzzzzzzzzzzzzing,amazing
17000079,aaaaamazing,amazing
17000080,ammmmmmmmmmmmmazing,amazing
17000082,aaaaaamazing,amazing
17000083,amazinnnnng,amazing
17000085,amaziiiiiiiiiiiing,amazing
17000086,amazinnnnnnng,amazing
17000089,ammmmmmmmmmmmmmmazing,amazing
17000091,amazzzzzing,amazing
17000092,amazinnnnnnnng,amazing
17000094,amazinng,amazing
17000099,amazingggggggggggg,amazing
17000107,amaziiiiiiiiiiiiing,amazing
17000108,amaziiiing,amazing
17000109,amazzzzzzzzzzzing,amazing
17000118,amazinnnnnng,amazing
17000122,ammmmmmmmmazing,amazing
17000124,amazingg,amazing
17000126,amaziiiiing,amazing
17000130,amaziiing,amazing
17000132,aamazing,amazing
17000139,ammmazing,amazing
17000142,amaaaaaaaaaaazing,amazing
17000145,amazinnnnnnnnnnnng,amazing
17000155,amazzzzzzzzzzzzing,amazing
17000165,amazzzzzzzing,amazing
17000166,aaaaaaaaaaaaaamazing,amazing
17000168,amaziing,amazing
17000174,aaaaaaaamazing,amazing
17000178,amazinnnng,amazing
17000192,ammmmmmazing,amazing
17000196,amazzzzzzzzing,amazing
17000205,amaaaaaaazing,amazing
17000208,aaaaaaaaaaaaamazing,amazing
17000217,ammmmmmmazing,amazing
17000224,amaazing,amazing
17000239,amazingggggggg,amazing
17000255,aaaaaaaaaaaaaaamazing,amazing
17000260,amazzing,amazing
17000262,amaaazing,amazing
17000269,amazingggg,amazing
17000278,amaziiiiiiiiiiiiiiing,amazing
17000305,amazinnnnnnnnnnnnnng,amazing
17000376,amazinggggggggggggggg,amazing
18000000,sweeeeeeeeeeeeeeeet,sweet
18000001,ssssweet,sweet
18000002,sssssssssssweet,sweet
18000003,ssssssssssssssweet,sweet
18000004,sweeeeeeet,sweet
18000005,sweeeet,sweet
18000006,sweettttttttttttt,sweet
18000007,ssssssweet,sweet
18000008,swwwwwwwwwwwwwweet,sweet
18000009,swwwwwwwwwwwwweet,sweet
18000010,sweeeeeeeeeeeeet,sweet
18000011,sweett,sweet
18000012,sweeeeeeeet,sweet
18000013,sssssweet,sweet
18000014,swweet,sweet
18000015,sweeeeet,sweet
18000017,sweettttttttttttttt,sweet
18000019,swwwwwwweet,sweet
18000020,sssssssssssssssweet,sweet
18000023,swwwwwwwwweet,sweet
18000024,swwwwwwwwwweet,sweet
18000026,sssssssssweet,sweet
18000028,sweetttttttttttttt,sweet
18000029,swwwweet,sweet
18000030,sweeeeeet,sweet
18000031,sweeeeeeeeeet,sweet
18000035,sweetttttttttt,sweet
18000037,sweeeeeeeeet,sweet
18000039,swwwwwwwwwwwwwwweet,sweet
18000043,sweeet,sweet
18000045,swwwwwwwweet,sweet
18000048,sweettttttttt,sweet
18000051,ssssssssssweet,sweet
18000054,sweeeeeeeeeeeeeet,sweet
18000056,swwwwwweet,sweet
18000060,sweettttttt,sweet
18000061,sweeeeeeeeeeeeeeet,sweet
18000064,sssssssweet,sweet
18000066,sweeeeeeeeeeeet,sweet
18000068,sssssssssssssweet,sweet
18000069,ssssssssssssweet,sweet
18000072,ssweet,sweet
18000073,sssweet,sweet
18000075,ssssssssweet,sweet
18000082,sweeeeeeeeeeet,sweet
18000092,sweetttttt,sweet
18000096,sweetttttttt,sweet
18000109,sweettt,sweet
18000118,sweettttttttttt,sweet
18000122,sweetttttttttttt,sweet
18000140,swwwwwwwwwwweet,sweet
18000157,swwwwweet,sweet
18000187,sweetttt,sweet
18000191,swwwwwwwwwwwweet,sweet
18000198,sweettttt,sweet
18000298,swwweet,sweet
19000000,fuuuuuuuuuuun,fun
19000001,fuuuuuuuuuuuuuun,fun
19000002,fuuuuuuuuuuuuun,fun
19000003,ffffun,fun
19000004,funnnnnnnnnnnnn,fun
19000006,ffffffffffffffun,fun
19000007,fuuuuuuun,fun
19000008,fffun,fun
19000009,funnnnn,fun
19000010,funnnn,fun
19000011,fuuuuuuuuuuuun,fun
19000012,funnnnnnnnnn,fun
19000013,ffffffun,fun
19000016,fffffffffun,fun
19000017,fuuuuuuuuuuuuuuun,fun
19000018,funnnnnnnnnnnn,fun
19000021,fuuuuun,fun
19000022,funnn,fun
19000023,fffffffun,fun
19000026,fffffun,fun
19000028,ffffffffffffun,fun
19000031,funnnnnnnnnnnnnnn,fun
19000032,fuuun,fun
19000034,funnnnnnnnn,fun
19000035,funnnnnnn,fun
19000036,funnnnnn,fun
19000047,fuuuuuuuuun,fun
19000050,ffun,fun
19000051,ffffffffffun,fun
19000052,fuuuuuuuuuun,fun
19000055,funn,fun
19000056,funnnnnnnnnnnnnn,fun
19000057,fuuuuuuuun,fun
19000058,fuuuun,fun
19000059,fffffffffffffffun,fun
19000063,fuuuuuun,fun
19000073,funnnnnnnnnnn,fun
19000075,fuun,fun
19000077,funnnnnnnn,fun
19000126,fffffffffffffun,fun
19000140,ffffffffun,fun
19000153,fffffffffffun,fun
20000000,woooooooooow,wow
20000001,wwwwwwwwwwwow,wow
20000002,wowwwwwwwwwwww,wow
20000003,wowwwwwwwwwwwwww,wow
20000004,wwwwwwwwwwow,wow
20000006,wowwwww,wow
20000007,wowwwwwwwwwww,wow
20000009,wooooooooooooow,wow
20000010,wooow,wow
20000011,woooooow,wow
20000012,woooooooow,wow
20000013,wowwwwwwwwwwwwwww,wow
20000014,wowwwwwwwwww,wow
20000015,woooooooooooooow,wow
20000017,wwwwwwow,wow
20000018,wwwwow,wow
20000023,wwwwwwwwow,wow
20000025,wowwwwwww,wow
20000026,woooooooooooow,wow
20000027,wwwwwow,wow
20000028,wowwwwwwww,wow
20000029,wowww,wow
20000030,wwwow,wow
20000031,woow,wow
20000033,wowwwwwwwwwwwww,wow
20000037,wwwwwwwwwwwwwwow,wow
20000038,wwwwwwwwwow,wow
20000041,wowwwwww,wow
20000043,wooooow,wow
20000048,wooooooow,wow
20000049,wooooooooooooooow,wow
20000055,wwwwwwwwwwwwow,wow
20000056,wwwwwwwow,wow
20000060,wwwwwwwwwwwwwow,wow
20000061,wowwww,wow
20000062,woooow,wow
20000064,wooooooooow,wow
20000070,wwwwwwwwwwwwwwwow,wow
20000110,wwow,wow
20000122,wooooooooooow,wow
20000126,wowwwwwwwww,wow
20000131,woww,wow
21000000,superrrrrrr,super
21000001,supeeer,super
21000002,superrrrrrrrrrr,super
21000003,supeeeeeeeeeer,super
21000004,supeeeeer,super
21000005,supeeeeeeeer,super
21000006,suuuuuper,super
21000007,suppppppppppper,super
21000008,supppppppppppper,super
21000009,sssssssssssssuper,super
21000010,supeeeeeeeeeeeeer,super
21000011,suuper,super
21000012,ssssuper,super
21000013,superrrrr,super
21000014,ssssssssuper,super
21000015,supeeeeeer,super
21000016,suuuuuuuuuuper,super
21000017,suuuuper,super
21000018,sssuper,super
21000020,ssssssssssssssuper,super
21000021,suuuuuuuuuper,super
21000022,supppper,super
21000026,ssuper,super
21000027,suuuuuuuuuuuuuuuper,super
21000029,supeeeeeeeeeeeeeer,super
21000031,suuuuuuuuuuuuper,super
21000033,suuuuuuper,super
21000037,supeeeeeeeeeeer,super
21000038,suppppper,super
21000039,suuuuuuuuuuuuuuper,super
21000041,sssssuper,super
21000046,superr,super
21000047,suuuuuuuuuuuper,super
21000049,sssssssssssssssuper,super
21000050,supeeeeeeeeer,super
21000051,superrrrrrrr,super
21000052,supppppper,super
21000053,superrrrrrrrrrrrrrr,super
21000054,suuuper,super
21000056,suppppppper,super
21000058,suppppppppper,super
21000059,supppppppper,super
21000062,suppppppppppppppper,super
21000065,superrrrrrrrrr,super
21000066,superrr,super
21000067,superrrrrr,super
21000069,ssssssuper,super
21000072,suuuuuuuper,super
21000073,supeer,super
21000080,supeeeeeeeeeeeer,super
21000082,superrrrrrrrrrrrrr,super
21000083,sssssssssssuper,super
21000088,sssssssuper,super
21000099,superrrr,super
21000100,superrrrrrrrrrrrr,super
21000101,supppppppppppppper,super
21000103,supeeeeeeeeeeeeeeer,super
21000105,suppppppppppppper,super
21000107,ssssssssssuper,super
21000109,ssssssssssssuper,super
21000120,superrrrrrrrrrrr,super
21000121,sssssssssuper,super
21000122,supppppppppper,super
21000129,suppper,super
21000134,suuuuuuuuper,super
21000138,supeeeeeeer,super
21000152,supper,super
21000191,suuuuuuuuuuuuuper,super
21000226,superrrrrrrrr,super
21000228,supeeeer,super
22000000,tassssty,tasty
22000001,tasttttttty,tasty
22000002,tastyyyyy,tasty
22000003,tastttttttttttty,tasty
22000004,tastyyyyyyyyyyyyy,tasty
22000005,tasssty,tasty
22000006,taaaaaaaaaaaaasty,tasty
22000007,tastttttttttty,tasty
22000008,tassssssssssty,tasty
22000009,tttttttasty,tasty
22000010,tasssssssssssty,tasty
22000011,ttasty,tasty
22000012,tassssssssty,tasty
22000013,tasttty,tasty
22000014,tastyyyyyyy,tasty
22000015,tastyyy,tasty
22000016,tastttttty,tasty
22000018,tasssssssssssssssty,tasty
22000020,tasttttttttttttty,tasty
22000021,tassssssty,tasty
22000022,taaaaaasty,tasty
22000024,ttttttttasty,tasty
22000025,tasttttttttttttttty,tasty
22000026,taaaaaaasty,tasty
22000027,tastttttttttttttty,tasty
22000029,tastyyyyyyyyyyy,tasty
22000033,tastyyyyyyyyyy,tasty
22000034,tastyyyyyy,tasty
22000035,tastyy,tasty
22000036,tassssssssssssssty,tasty
22000037,tasssssty,tasty
22000038,ttttttttttttasty,tasty
22000039,taasty,tasty
22000041,taaaaaaaaaaaaaasty,tasty
22000042,tasttttttttty,tasty
22000044,tastttttttty,tasty
22000045,tastty,tasty
22000046,tttttttttttasty,tasty
22000047,taaasty,tasty
22000049,tttttttttttttasty,tasty
22000050,tastttty,tasty
22000052,taaaaaaaaaaaaaaasty,tasty
22000055,tasssssssssssssty,tasty
22000058,ttttttttttasty,tasty
22000062,tassssssssssssty,tasty
22000066,taaaaaaaaaaasty,tasty
22000069,taaaasty,tasty
22000072,taaaaaaaaasty,tasty
22000077,tttttttttttttttasty,tasty
22000080,ttttttasty,tasty
22000085,ttttttttttttttasty,tasty
22000087,tastyyyyyyyyyyyyyyy,tasty
22000091,tastyyyyyyyyy,tasty
22000094,tasssssssty,tasty
22000097,taaaaaaaaaasty,tasty
22000099,taaaaasty,tasty
22000107,tasssssssssty,tasty
22000113,taaaaaaaaaaaasty,tasty
22000115,tttttasty,tasty
22000116,tasttttttttttty,tasty
22000120,tastyyyyyyyy,tasty
22000132,tttttttttasty,tasty
22000135,tastyyyyyyyyyyyy,tasty
22000141,taaaaaaaasty,tasty
22000147,tasttttty,tasty
22000159,ttttasty,tasty
22000164,tastyyyy,tasty
22000167,tastyyyyyyyyyyyyyy,tasty
22000211,tttasty,tasty
22000472,tassty,tasty
23000000,aweeeesome,awesome
23000001,aaawesome,awesome
23000002,awesoooooooome,awesome
23000003,awesomme,awesome
23000004,awwwwwwwwwwwwesome,awesome
23000005,awesommmmmmme,awesome
23000006,aaaaaaawesome,awesome
23000007,awesooooooome,awesome
23000008,awesommmmmmmmmmmme,awesome
23000010,awwwwwwwwwwwwwesome,awesome
23000011,awesooooooooooooome,awesome
23000012,aaaaaaaaaaawesome,awesome
23000013,awesooooooooome,awesome
23000014,aweeeeeeeeeeeeesome,awesome
23000015,aweeeeeeeeeeeeeesome,awesome
23000016,awesoooome,awesome
23000017,awesomeeeeeeeeeeeeee,awesome
23000018,awesomeeeeeeeeee,awesome
23000019,aweeeeesome,awesome
23000020,aaaaaaaaaaaaawesome,awesome
23000021,aweeeeeesome,awesome
23000022,awesssssssssssssssome,awesome
23000023,aweeeeeeeeeeesome,awesome
23000024,awesssssssome,awesome
23000025,aweeeeeeeesome,awesome
23000026,awessssssome,awesome
23000028,awesomeeeeeeee,awesome
23000029,awwwwwwwwesome,awesome
23000030,awwwwwwwwwwesome,awesome
23000031,awesomeee,awesome
23000032,awwwwwwwwwwwwwwwesome,awesome
23000033,awesoooooome,awesome
23000035,awwwesome,awesome
23000038,awesoome,awesome
23000040,awesooooome,awesome
23000041,awesomeeeeeeeee,awesome
23000042,awesomeeee,awesome
23000043,awwwwwwwwwwwwwwesome,awesome
23000047,awesoooooooooooooome,awesome
23000048,aaaawesome,awesome
23000049,awesommmmmmmmmmmmmmme,awesome
23000051,aaaaaaaaaaaawesome,awesome
23000052,awesommmmmme,awesome
23000053,awesssome,awesome
23000054,awessome,awesome
23000055,awesomeeeeeeeeeeee,awesome
23000056,awessssome,awesome
23000058,aaaaawesome,awesome
23000062,awwwwwwesome,awesome
23000065,awesooome,awesome
23000068,awesssssome,awesome
23000069,awesomee,awesome
23000074,awesomeeeeeeeeeeeeeee,awesome
23000075,aaaaaaaaawesome,awesome
23000078,awesomeeeeeee,awesome
23000081,aweeeeeeeeeeeesome,awesome
23000085,awwwwwwwwwwwesome,awesome
23000086,awesoooooooooooome,awesome
23000089,aaaaaaaaaawesome,awesome
23000090,aaaaaawesome,awesome
23000094,awwwwwwwesome,awesome
23000102,aweeeeeeeeesome,awesome
23000103,awesommmmmmmmme,awesome
23000104,awesssssssssssssome,awesome
23000116,awesommmmmmmmmmmmme,awesome
23000117,awessssssssssssssome,awesome
23000119,awesomeeeeee,awesome
23000127,aweeeeeeesome,awesome
23000132,awwesome,awesome
23000142,awesommmme,awesome
23000151,awwwwwwwwwesome,awesome
23000156,awesomeeeee,awesome
23000157,aaaaaaaaaaaaaaawesome,awesome
23000158,awesssssssssome,awesome
23000164,awesommmmmmmme,awesome
23000172,awessssssssssome,awesome
23000178,awesomeeeeeeeeeeeee,awesome
23000179,awesommmmme,awesome
23000183,aweeesome,awesome
23000186,awesooooooooooooooome,awesome
23000189,awesommmmmmmmmmmmmme,awesome
23000202,aaaaaaaaaaaaaawesome,awesome
23000227,aweeeeeeeeeesome,awesome
23000228,awesoooooooooome,awesome
23000250,awwwwesome,awesome
23000274,awesommmmmmmmmme,awesome
23000278,awessssssssome,awesome
23000279,awessssssssssssome,awesome
23000283,awesomeeeeeeeeeee,awesome
23000291,awesssssssssssome,awesome
23000293,aawesome,awesome
23000300,awesommme,awesome
23000320,aweeeeeeeeeeeeeeesome,awesome
23000323,awesooooooooooome,awesome
23000339,awesommmmmmmmmmme,awesome
23000354,aweesome,awesome
23000380,aaaaaaaawesome,awesome
23000424,awwwwwesome,awesome
24000000,perfecccccccccccccct,perfect
24000001,ppppppppppppperfect,perfect
24000002,peeeeeeeeeeeeeerfect,perfect
24000003,perfeeeeeeeeeeeeeeect,perfect
24000004,perfecccct,perfect
24000005,perfffffffffffffect,perfect
24000006,peeeeeeeeeeeeerfect,perfect
24000007,perffffffffffffffect,perfect
24000008,perffffffffffect,perfect
24000009,perfeeeeeect,perfect
24000010,perffffffffffffect,perfect
24000011,ppppppperfect,perfect
24000012,perfecccccccccct,perfect
24000013,perfectttttttttttt,perfect
24000016,ppppppppppperfect,perfect
24000019,perfeccccccccccct,perfect
24000020,perfecttt,perfect
24000021,perfffffffffect,perfect
24000022,perfeeeeeeeeeeect,perfect
24000023,peeeeeeeeeeeerfect,perfect
24000025,perfecccccccct,perfect
24000026,perrrrrrrrrrrfect,perfect
24000027,perrrfect,perfect
24000028,perfeccccccccct,perfect
24000029,perrfect,perfect
24000030,perfecttttttttttttt,perfect
24000031,perfectttttt,perfect
24000034,perfeeeeeeeeeeeeeect,perfect
24000035,peeeeeeeeeerfect,perfect
24000036,perrrrrfect,perfect
24000038,perrrrrrrrrrrrrfect,perfect
24000039,perfffffffect,perfect
24000040,perffffect,perfect
24000042,perfecccccccccccct,perfect
24000045,perfeeeeeeeeeect,perfect
24000046,pppppppperfect,perfect
24000048,ppppperfect,perfect
24000050,perfectttttttttttttt,perfect
24000051,pppppppppppperfect,perfect
24000052,perfeeect,perfect
24000053,ppperfect,perfect
24000054,perrrrrrrrrfect,perfect
24000055,perfeeeeeeeect,perfect
24000056,perrrrrrrrrrrrfect,perfect
24000057,perfffect,perfect
24000058,peeeeeerfect,perfect
24000059,perfecttttttttt,perfect
24000060,perfeeeeect,perfect
24000061,peeeeerfect,perfect
24000063,perrrrrrrrrrrrrrfect,perfect
24000064,perrrrfect,perfect
24000067,perfeeeect,perfect
24000069,perffffffect,perfect
24000070,perrrrrrfect,perfect
24000071,perrrrrrrrrrfect,perfect
24000072,perfeccccccct,perfect
24000074,peeeeeeeeerfect,perfect
24000075,perfffffffffffffffect,perfect
24000076,perfeeeeeeeeeeeect,perfect
24000077,perfffffffffffect,perfect
24000082,perfeeeeeeect,perfect
24000083,perfectttttttttt,perfect
24000092,pppppperfect,perfect
24000093,peeeeeeeeeeeeeeerfect,perfect
24000094,perffect,perfect
24000095,perfecccccct,perfect
24000096,perfeccccccccccccccct,perfect
24000099,perfffffect,perfect
24000101,perfectttttttt,perfect
24000102,perfeeeeeeeeect,perfect
24000104,peeerfect,perfect
